paper_id,reason
2103.08178,paper_tex_not_found
2103.08175,paper_tex_not_found
2103.08182,paper_tex_not_found
2103.08186,paper_tex_not_found
2103.13342,paper_not_found
2001.04351,paper_tex_not_found
0907.0332,paper_tex_not_found
1101.4103,paper_tex_not_found
0907.0328,paper_tex_not_found
0907.0329,paper_tex_not_found
2206.07081,paper_tex_not_found
2103.12857,introduction_not_found
2206.11922,paper_tex_not_found
2210.15289,paper_tex_not_found
2007.04477,paper_tex_not_found
2008.02783,paper_tex_not_found
2207.06360,paper_tex_not_found
2210.17272,paper_tex_not_found
2205.04673,paper_tex_not_found
2111.15363,introduction_not_found
2105.07804,paper_tex_not_found
2102.05460,paper_tex_not_found
2003.01525,paper_tex_not_found
2002.12450,paper_tex_not_found
2209.02935,paper_tex_not_found
2104.13638,paper_tex_not_found
2205.03318,paper_tex_not_found
2204.01482,paper_tex_not_found
2203.11872,paper_tex_not_found
2106.08901,paper_tex_not_found
2108.12290,introduction_not_found
2107.06231,introduction_not_found
2205.10188,paper_not_found
2208.02685,paper_tex_not_found
1911.04061,introduction_not_found
2001.06980,introduction_not_found
0905.4387,paper_tex_not_found
0904.2953,paper_tex_not_found
0904.2954,paper_tex_not_found
2212.13537,paper_tex_not_found
2204.01543,paper_tex_not_found
2111.13756,paper_tex_not_found
2006.00887,paper_tex_not_found
2012.01805,introduction_not_found
2004.14421,paper_tex_not_found
2202.02734,paper_tex_not_found
2109.02956,paper_tex_not_found
2002.05664,paper_tex_not_found
2002.00224,paper_tex_not_found
2202.01389,introduction_not_found
2008.06979,paper_tex_not_found
2005.03899,introduction_not_found
2203.04920,paper_tex_not_found
2201.00848,paper_tex_not_found
2103.10480,paper_tex_not_found
2103.07765,paper_tex_not_found
2004.03366,paper_tex_not_found
2209.10121,paper_tex_not_found
2209.09630,paper_tex_not_found
1912.05912,paper_tex_not_found
2010.11978,paper_tex_not_found
1809.08417,paper_tex_not_found
1809.06188,paper_tex_not_found
2108.12784,paper_tex_not_found
2204.09486,paper_tex_not_found
2206.08175,introduction_not_found
2109.10252,paper_not_found
2107.03721,paper_tex_not_found
1807.04644,paper_tex_not_found
1811.02798,introduction_not_found
2108.06896,paper_tex_not_found
2107.13684,paper_tex_not_found
2004.05812,paper_tex_not_found
2105.07485,paper_tex_not_found
2205.15458,paper_tex_not_found
2106.12472,paper_tex_not_found
2105.11475,paper_tex_not_found
1709.08274,introduction_not_found
2203.15655,paper_tex_not_found
2204.01327,paper_tex_not_found
2110.02740,paper_tex_not_found
1903.06740,paper_tex_not_found
1903.06765,paper_tex_not_found
1810.10076,paper_tex_not_found
2110.03109,introduction_not_found
2108.07258,introduction_not_found
2104.02095,paper_tex_not_found
2208.08138,paper_tex_not_found
2103.08659,paper_tex_not_found
2105.09917,paper_tex_not_found
